product_name,product_description,price,ratings,reviews,product_link,image_link,website,date
Dell Inspiron 15 3000 3520,"Processor: Intel Intel Core i5, RAM: 32GB, Storage: 2048GB SSD, OS: Windows 11 Pro, Display: 15.6 inches 1920x1080 Pixels",40421.0,4.0,Very good laptop with solid performance,https://www.amazon.com/Inspiron-Business-Touchscreen-i5-1155G7-Microsoft/dp/B0CTFMTHD8/ref=sr_1_636?dib=eyJ2IjoiMSJ9.V_7cZqgbAZmLoo0gHJVQ9q3_UsTKPr45oTho_8mXksP_yyWU3-PYIaezdIXerWZH5jjwBh7Vn7y5HdGQxR401VieExF4yOdAzHLbAsEadwYfL35A1yhgJ6Wrud9CGiWyOC30B6XLLnP4bp-89DKNdIPOcUHQt65FKFPlPifqxxBq6Ic4Zgwq9FBiXJP5_vBqeFnmpwE5yKy_hq3DTyHfU2TNz13yStMZuLX5PU79YIgJOa2F3UVpj-I10dt5Uon18QzJCPPszkSlGYMNvPSQT6zyEty4j_uOFrTKROsGXkI.B9qdh59aAPi7HsIj_Z9lgV7UqyC6heNiv1ICehBb4Vw&dib_tag=se&qid=1730676665&s=pc&sr=1-636,Not Available,Amazon,2024-11-04 18:24:26
Dell Dell Inspiron,"Processor: Intel Core i5, RAM: 32GB, Storage: 2048GB SSD, OS: Windows 11 Pro, Display: 15.6 inches 1920 x 1080 Pixels",57269.0,4.2,Very good laptop with solid performance,https://www.amazon.com/Dell-%E2%80%8EInspiron-Touchscreen-i5-1155G7-Processor/dp/B0DCGTGQWX/ref=sr_1_637?dib=eyJ2IjoiMSJ9.V_7cZqgbAZmLoo0gHJVQ9q3_UsTKPr45oTho_8mXksP_yyWU3-PYIaezdIXerWZH5jjwBh7Vn7y5HdGQxR401VieExF4yOdAzHLbAsEadwYfL35A1yhgJ6Wrud9CGiWyOC30B6XLLnP4bp-89DKNdIPOcUHQt65FKFPlPifqxxBq6Ic4Zgwq9FBiXJP5_vBqeFnmpwE5yKy_hq3DTyHfU2TNz13yStMZuLX5PU79YIgJOa2F3UVpj-I10dt5Uon18QzJCPPszkSlGYMNvPSQT6zyEty4j_uOFrTKROsGXkI.B9qdh59aAPi7HsIj_Z9lgV7UqyC6heNiv1ICehBb4Vw&dib_tag=se&qid=1730676665&s=pc&sr=1-637,Not Available,Amazon,2024-11-04 18:24:29
HP Slim,"Processor: Intel Pentium, RAM: 32GB, Storage: 2048GB SSD, OS: Windows 11, Display: 14.0 inches 1366 x 768 Pixels",33117.0,4.0,Very good laptop with solid performance,https://www.amazon.com/HP-Slim-Microsoft-Quad-Core-Processor/dp/B0D9GG9RR8/ref=sr_1_638?dib=eyJ2IjoiMSJ9.V_7cZqgbAZmLoo0gHJVQ9q3_UsTKPr45oTho_8mXksP_yyWU3-PYIaezdIXerWZH5jjwBh7Vn7y5HdGQxR401VieExF4yOdAzHLbAsEadwYfL35A1yhgJ6Wrud9CGiWyOC30B6XLLnP4bp-89DKNdIPOcUHQt65FKFPlPifqxxBq6Ic4Zgwq9FBiXJP5_vBqeFnmpwE5yKy_hq3DTyHfU2TNz13yStMZuLX5PU79YIgJOa2F3UVpj-I10dt5Uon18QzJCPPszkSlGYMNvPSQT6zyEty4j_uOFrTKROsGXkI.B9qdh59aAPi7HsIj_Z9lgV7UqyC6heNiv1ICehBb4Vw&dib_tag=se&qid=1730676665&s=pc&sr=1-638,Not Available,Amazon,2024-11-04 18:24:34
OTVOC VocBook 15 Pro,"Processor: Intel Celeron, RAM: 16GB, Storage: 512GB SSD, OS: Windows 11 Home, Display: 15.6 inches 1920x1080 Pixels",23239.0,4.6,Excellent performance and premium build quality,https://www.amazon.com/OTVOC-Windows-Celeron-JasperLake-1920x1080/dp/B0D9LX131M/ref=sr_1_639?dib=eyJ2IjoiMSJ9.V_7cZqgbAZmLoo0gHJVQ9q3_UsTKPr45oTho_8mXksP_yyWU3-PYIaezdIXerWZH5jjwBh7Vn7y5HdGQxR401VieExF4yOdAzHLbAsEadwYfL35A1yhgJ6Wrud9CGiWyOC30B6XLLnP4bp-89DKNdIPOcUHQt65FKFPlPifqxxBq6Ic4Zgwq9FBiXJP5_vBqeFnmpwE5yKy_hq3DTyHfU2TNz13yStMZuLX5PU79YIgJOa2F3UVpj-I10dt5Uon18QzJCPPszkSlGYMNvPSQT6zyEty4j_uOFrTKROsGXkI.B9qdh59aAPi7HsIj_Z9lgV7UqyC6heNiv1ICehBb4Vw&dib_tag=se&qid=1730676665&s=pc&sr=1-639,Not Available,Amazon,2024-11-04 18:24:38
Dell Latitude 5410 Laptop,"Processor: Intel Core i7, RAM: 8GB, Storage: 128GB SSD, OS: Windows 10 Pro, Display: 14.0 inches 1920x1080 MP",38166.0,Not Available,No reviews available,https://www.amazon.com/sspa/click?ie=UTF8&spc=MTo4NDkxNTk5NDMzNDA3NDI6MTczMDY3NjY2NTpzcF9tdGZfYnJvd3NlOjMwMDUxNzA1NzgwNDQwMjo6MDo6&url=%2FDell-Latitude-5000-5410-Laptop%2Fdp%2FB096QWB4SR%2Fref%3Dsr_1_640_sspa%3Fdib%3DeyJ2IjoiMSJ9.V_7cZqgbAZmLoo0gHJVQ9q3_UsTKPr45oTho_8mXksP_yyWU3-PYIaezdIXerWZH5jjwBh7Vn7y5HdGQxR401VieExF4yOdAzHLbAsEadwYfL35A1yhgJ6Wrud9CGiWyOC30B6XLLnP4bp-89DKNdIPOcUHQt65FKFPlPifqxxBq6Ic4Zgwq9FBiXJP5_vBqeFnmpwE5yKy_hq3DTyHfU2TNz13yStMZuLX5PU79YIgJOa2F3UVpj-I10dt5Uon18QzJCPPszkSlGYMNvPSQT6zyEty4j_uOFrTKROsGXkI.B9qdh59aAPi7HsIj_Z9lgV7UqyC6heNiv1ICehBb4Vw%26dib_tag%3Dse%26qid%3D1730676665%26s%3Dpc%26sr%3D1-640-spons%26sp_csd%3Dd2lkZ2V0TmFtZT1zcF9tdGZfYnJvd3Nl%26psc%3D1,Not Available,Amazon,2024-11-04 18:24:42
Lenovo IdeaPad Premium Series,"Processor: Intel Celeron, RAM: 12GB, Storage: 640GB SSD, OS: Windows 11 Home, Display: 15.6 inches 1366 x 768 Pixels",33117.0,4.6,Excellent performance and premium build quality,https://www.amazon.com/Lenovo-Premium-Storage-External-Windows/dp/B0DJP626SB/ref=sr_1_643?dib=eyJ2IjoiMSJ9.V_7cZqgbAZmLoo0gHJVQ9q3_UsTKPr45oTho_8mXksP_yyWU3-PYIaezdIXerWZH5jjwBh7Vn7y5HdGQxR401VieExF4yOdAzHLbAsEadwYfL35A1yhgJ6Wrud9CGiWyOC30B6XLLnP4bp-89DKNdIPOcUHQt65FKFPlPifqxxBq6Ic4Zgwq9FBiXJP5_vBqeFnmpwE5yKy_hq3DTyHfU2TNz13yStMZuLX5PU79YIgJOa2F3UVpj-I10dt5Uon18QzJCPPszkSlGYMNvPSQT6zyEty4j_uOFrTKROsGXkI.B9qdh59aAPi7HsIj_Z9lgV7UqyC6heNiv1ICehBb4Vw&dib_tag=se&qid=1730676665&s=pc&sr=1-643,Not Available,Amazon,2024-11-04 18:24:55
Dell Dell 5590,"Processor: Intel Core i7-8650U, RAM: 16GB, Storage: 512GB SSD, OS: Windows 10 Pro, Display: 15.6 inches 1920x1080",24568.0,4.2,Very good laptop with solid performance,https://www.amazon.com/Dell-Latitude-5590-Professional-Refurbished/dp/B07H6LXXDV/ref=sr_1_644?dib=eyJ2IjoiMSJ9.V_7cZqgbAZmLoo0gHJVQ9q3_UsTKPr45oTho_8mXksP_yyWU3-PYIaezdIXerWZH5jjwBh7Vn7y5HdGQxR401VieExF4yOdAzHLbAsEadwYfL35A1yhgJ6Wrud9CGiWyOC30B6XLLnP4bp-89DKNdIPOcUHQt65FKFPlPifqxxBq6Ic4Zgwq9FBiXJP5_vBqeFnmpwE5yKy_hq3DTyHfU2TNz13yStMZuLX5PU79YIgJOa2F3UVpj-I10dt5Uon18QzJCPPszkSlGYMNvPSQT6zyEty4j_uOFrTKROsGXkI.B9qdh59aAPi7HsIj_Z9lgV7UqyC6heNiv1ICehBb4Vw&dib_tag=se&qid=1730676665&s=pc&sr=1-644,Not Available,Amazon,2024-11-04 18:24:59
acer CB315-3HT,"Processor: Intel Celeron N4020, RAM: 4GB, Storage: 64GB SSD, OS: Chrome OS, Display: 15.6 inches 1920x1080 Pixels",22409.0,4.3,Very good laptop with solid performance,https://www.amazon.com/Acer-Chromebook-Touchscreen-Dual-Core-Processor/dp/B08LBZRVLG/ref=sr_1_645?dib=eyJ2IjoiMSJ9.V_7cZqgbAZmLoo0gHJVQ9q3_UsTKPr45oTho_8mXksP_yyWU3-PYIaezdIXerWZH5jjwBh7Vn7y5HdGQxR401VieExF4yOdAzHLbAsEadwYfL35A1yhgJ6Wrud9CGiWyOC30B6XLLnP4bp-89DKNdIPOcUHQt65FKFPlPifqxxBq6Ic4Zgwq9FBiXJP5_vBqeFnmpwE5yKy_hq3DTyHfU2TNz13yStMZuLX5PU79YIgJOa2F3UVpj-I10dt5Uon18QzJCPPszkSlGYMNvPSQT6zyEty4j_uOFrTKROsGXkI.B9qdh59aAPi7HsIj_Z9lgV7UqyC6heNiv1ICehBb4Vw&dib_tag=se&qid=1730676665&s=pc&sr=1-645,Not Available,Amazon,2024-11-04 18:25:05
acer Acer Chromebook Plus 514 Laptop CB514-3HT-R8RB,"Processor: AMD Ryzen 3, RAM: 8GB, Storage: 128GB SSD, OS: Chrome OS, Display: 14.0 inches 1920x1200",28054.0,4.5,Excellent performance and premium build quality,https://www.amazon.com/acer-Chromebook-Plus-Laptop-Google/dp/B0CRJPQ8V8/ref=sr_1_646?dib=eyJ2IjoiMSJ9.V_7cZqgbAZmLoo0gHJVQ9q3_UsTKPr45oTho_8mXksP_yyWU3-PYIaezdIXerWZH5jjwBh7Vn7y5HdGQxR401VieExF4yOdAzHLbAsEadwYfL35A1yhgJ6Wrud9CGiWyOC30B6XLLnP4bp-89DKNdIPOcUHQt65FKFPlPifqxxBq6Ic4Zgwq9FBiXJP5_vBqeFnmpwE5yKy_hq3DTyHfU2TNz13yStMZuLX5PU79YIgJOa2F3UVpj-I10dt5Uon18QzJCPPszkSlGYMNvPSQT6zyEty4j_uOFrTKROsGXkI.B9qdh59aAPi7HsIj_Z9lgV7UqyC6heNiv1ICehBb4Vw&dib_tag=se&qid=1730676665&s=pc&sr=1-646,Not Available,Amazon,2024-11-04 18:25:11
Lenovo 15-1i82QD,"Processor: Intel Intel Core i3, RAM: 16GB, Storage: 512GB SSD, OS: Windows 11 Pro, Display: 15.6 inches 1920 x 1080 Pixels",38927.0,4.5,Excellent performance and premium build quality,https://www.amazon.com/Lenovo-Business-Microsoft-Lifetime-Touchscreen/dp/B0D8JQ9B5R/ref=sr_1_647?dib=eyJ2IjoiMSJ9.V_7cZqgbAZmLoo0gHJVQ9q3_UsTKPr45oTho_8mXksP_yyWU3-PYIaezdIXerWZH5jjwBh7Vn7y5HdGQxR401VieExF4yOdAzHLbAsEadwYfL35A1yhgJ6Wrud9CGiWyOC30B6XLLnP4bp-89DKNdIPOcUHQt65FKFPlPifqxxBq6Ic4Zgwq9FBiXJP5_vBqeFnmpwE5yKy_hq3DTyHfU2TNz13yStMZuLX5PU79YIgJOa2F3UVpj-I10dt5Uon18QzJCPPszkSlGYMNvPSQT6zyEty4j_uOFrTKROsGXkI.B9qdh59aAPi7HsIj_Z9lgV7UqyC6heNiv1ICehBb4Vw&dib_tag=se&qid=1730676665&s=pc&sr=1-647,Not Available,Amazon,2024-11-04 18:25:15
Z ZOLWAYTAC N160MU2-AN,"Processor: Intel Intel N100, RAM: 16GB, Storage: 512GB SSD, OS: Windows 11 Pro, Display: 16.0 inches 1920x1200 Pixels",24899.0,5.0,Excellent performance and premium build quality,https://www.amazon.com/Aluminum-Keyboard-Supports-Charging-SpaceGray/dp/B0D83MCT6H/ref=sr_1_648?dib=eyJ2IjoiMSJ9.V_7cZqgbAZmLoo0gHJVQ9q3_UsTKPr45oTho_8mXksP_yyWU3-PYIaezdIXerWZH5jjwBh7Vn7y5HdGQxR401VieExF4yOdAzHLbAsEadwYfL35A1yhgJ6Wrud9CGiWyOC30B6XLLnP4bp-89DKNdIPOcUHQt65FKFPlPifqxxBq6Ic4Zgwq9FBiXJP5_vBqeFnmpwE5yKy_hq3DTyHfU2TNz13yStMZuLX5PU79YIgJOa2F3UVpj-I10dt5Uon18QzJCPPszkSlGYMNvPSQT6zyEty4j_uOFrTKROsGXkI.B9qdh59aAPi7HsIj_Z9lgV7UqyC6heNiv1ICehBb4Vw&dib_tag=se&qid=1730676665&s=pc&sr=1-648,Not Available,Amazon,2024-11-04 18:25:19
Lenovo ThinkBook,"Processor: Intel Intel Core Ultra 5, RAM: 32GB, Storage: 2048GB SSD, OS: Windows 11 Pro, Display: 16.0 inches 1920 x 1200 Pixels",71297.0,5.0,Excellent performance and premium build quality,https://www.amazon.com/Lenovo-16-G7-Thunderbolt-Experience/dp/B0D9LKRWSV/ref=sr_1_649?dib=eyJ2IjoiMSJ9.V_7cZqgbAZmLoo0gHJVQ9q3_UsTKPr45oTho_8mXksP_yyWU3-PYIaezdIXerWZH5jjwBh7Vn7y5HdGQxR401VieExF4yOdAzHLbAsEadwYfL35A1yhgJ6Wrud9CGiWyOC30B6XLLnP4bp-89DKNdIPOcUHQt65FKFPlPifqxxBq6Ic4Zgwq9FBiXJP5_vBqeFnmpwE5yKy_hq3DTyHfU2TNz13yStMZuLX5PU79YIgJOa2F3UVpj-I10dt5Uon18QzJCPPszkSlGYMNvPSQT6zyEty4j_uOFrTKROsGXkI.B9qdh59aAPi7HsIj_Z9lgV7UqyC6heNiv1ICehBb4Vw&dib_tag=se&qid=1730676665&s=pc&sr=1-649,Not Available,Amazon,2024-11-04 18:25:24
HP HP Envy,"Processor: Intel Intel Core i7, RAM: 64GB, Storage: 4096GB SSD, OS: Windows 11 Pro, Display: 17.3 inches 1920 x 1080 Pixels",107672.0,5.0,Excellent performance and premium build quality,https://www.amazon.com/HP-Envy-Touchscreen-i7-1355U-Keyboard/dp/B0DHJ416VH/ref=sr_1_650?dib=eyJ2IjoiMSJ9.V_7cZqgbAZmLoo0gHJVQ9q3_UsTKPr45oTho_8mXksP_yyWU3-PYIaezdIXerWZH5jjwBh7Vn7y5HdGQxR401VieExF4yOdAzHLbAsEadwYfL35A1yhgJ6Wrud9CGiWyOC30B6XLLnP4bp-89DKNdIPOcUHQt65FKFPlPifqxxBq6Ic4Zgwq9FBiXJP5_vBqeFnmpwE5yKy_hq3DTyHfU2TNz13yStMZuLX5PU79YIgJOa2F3UVpj-I10dt5Uon18QzJCPPszkSlGYMNvPSQT6zyEty4j_uOFrTKROsGXkI.B9qdh59aAPi7HsIj_Z9lgV7UqyC6heNiv1ICehBb4Vw&dib_tag=se&qid=1730676665&s=pc&sr=1-650,Not Available,Amazon,2024-11-04 18:25:27
